start_id,direction,step_index,relative_distance_m,frame_id,target_coverage,contour_span_over_target_bbox,contour_median_x_px,boundary_type,boundary_penetration_px,first_physical_termination,model_visible_termination,target_side_fraction,external_side_fraction
start_08,LEFT,2,1.0,12195,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,LEFT,3,1.5,12199,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,LEFT,4,2.0,12203,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,LEFT,5,2.5,12207,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,LEFT,6,3.0,12211,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,LEFT,7,3.5,12215,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,LEFT,8,4.0,12219,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,RIGHT,0,0.0,12187,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,RIGHT,1,0.5,12223,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,RIGHT,2,1.0,12227,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,RIGHT,3,1.5,12231,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,RIGHT,4,2.0,12235,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,RIGHT,5,2.5,12239,0.88611328125,1.0,623.0,UNRESOLVED,16.0,False,False,1.0,0.0
start_08,RIGHT,6,3.0,12243,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_08,RIGHT,7,3.5,12247,0.8864192708333334,0.42488262910798125,637.0,UNRESOLVED,2.0,False,False,1.0,0.9226519337016574
start_08,RIGHT,8,4.0,12251,0.8752962239583333,1.0,631.0,PHYSICAL_TERMINATION,8.0,True,False,1.0,1.0
start_09,LEFT,0,0.0,12255,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,LEFT,1,0.5,12259,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,LEFT,2,1.0,12263,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,LEFT,3,1.5,12267,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,LEFT,4,2.0,12271,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,LEFT,5,2.5,12275,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
